Temperature,Humidity,Soil Moisture,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Soil Type,Season,Location,Crop
25.8,86.6,71.94570493878102,16,138,207,6.6,69.8,Red,Kharif,Hyderabad,Grapes
25.4,92.7,83.34254769685856,38,14,24,6.5,197.8,Clay,Zaid,Hyderabad,Coconut
27.1,94.0,85.98710328890391,95,31,51,5.8,21.7,Clay,Zaid,Nagpur,Muskmelon
28.5,96.3,83.4693918982178,34,21,26,5.6,152.6,Red,Zaid,Chennai,Coconut
29.5,52.4,40.23840282100321,38,39,33,5.1,86.2,Red,Rabi,Chennai,Mango
15.5,89.0,76.79766854184567,25,141,193,6.4,96.8,Black,Kharif,Pune,Apple
25.8,64.0,56.92861711632098,38,66,23,7.0,68.2,Red,Rabi,Nagpur,Blackgram
29.1,67.2,59.11409675127106,21,39,28,6.6,31.1,Clay,Rabi,Pune,Mungbean
23.0,62.3,53.51557432570209,95,57,18,6.7,71.1,Loamy,Kharif,Chennai,Cotton
23.5,66.3,60.297992133871524,6,70,25,6.6,34.0,Loamy,Zaid,Delhi,Lentil
26.2,87.7,73.73606168976447,25,20,34,6.3,216.2,Red,Kharif,Mumbai,Coconut
22.3,91.5,86.48718083860298,41,19,7,6.8,107.8,Red,Kharif,Bangalore,Orange
25.9,26.8,16.142490606777507,39,68,20,5.9,85.5,Red,Kharif,Hyderabad,Kidneybeans
27.8,53.5,41.74337959363128,33,23,26,4.4,86.5,Loamy,Rabi,Nashik,Mango
27.5,94.0,79.0030746252449,65,52,49,7.2,221.0,Black,Rabi,Nashik,Papaya
19.4,88.0,79.05575660347637,87,63,30,6.1,212.1,Black,Kharif,Chennai,Rice
22.6,43.7,32.61882482323104,18,83,28,7.4,106.7,Loamy,Zaid,Bangalore,Pigeonpeas
30.8,62.8,56.06356510033057,22,45,20,7.1,49.3,Clay,Rabi,Pune,Mungbean
29.9,57.4,46.622098854117866,21,31,17,5.8,42.5,Loamy,Rabi,Kolkata,Mungbean
27.9,90.1,81.99332772509726,16,34,23,6.3,170.4,Loamy,Zaid,Hyderabad,Coconut
29.2,49.3,43.74016959020901,24,56,25,4.9,27.5,Loamy,Rabi,Delhi,Mothbeans
20.6,82.8,74.95263999236685,21,30,42,6.5,98.2,Clay,Kharif,Nagpur,Pomegranate
34.8,57.3,44.314169162737485,17,24,22,5.0,83.2,Clay,Rabi,Pune,Mango
31.6,54.2,47.56384013567799,32,20,27,6.7,98.4,Black,Kharif,Mumbai,Mango
24.5,94.2,88.38921832373386,102,32,43,5.4,22.7,Loamy,Zaid,Hyderabad,Muskmelon
26.9,75.0,66.79904859379663,109,81,45,5.7,91.4,Black,Zaid,Pune,Banana
11.3,94.5,84.18826198038855,21,21,12,7.2,104.4,Clay,Rabi,Kolkata,Orange
27.9,96.5,82.35571614560534,65,64,45,6.6,160.1,Clay,Kharif,Hyderabad,Papaya
22.1,80.1,73.48299467272575,88,37,39,6.1,152.3,Red,Kharif,Chennai,Jute
29.9,80.0,74.441898493147,37,140,194,6.3,78.3,Clay,Kharif,Mumbai,Grapes
27.2,88.3,73.42163687308637,18,28,10,7.4,122.5,Black,Zaid,Kolkata,Orange
28.1,73.6,62.83743947424492,113,86,41,5.5,115.0,Red,Rabi,Hyderabad,Banana
23.2,87.7,82.54296563775912,54,57,58,6.9,161.6,Loamy,Zaid,Chennai,Papaya
19.6,55.2,44.687241888106755,43,53,27,5.2,140.4,Red,Zaid,Bangalore,Pigeonpeas
27.0,86.0,78.87932793626776,94,30,44,6.1,166.5,Black,Kharif,Nashik,Jute
27.1,71.6,56.92630881827222,40,51,15,7.0,61.7,Red,Zaid,Nagpur,Blackgram
21.2,63.3,53.629567506403916,130,46,24,6.3,71.1,Clay,Kharif,Ahmedabad,Cotton
33.0,72.9,61.87195560298172,41,79,22,7.3,76.6,Loamy,Zaid,Mumbai,Blackgram
20.6,80.1,69.6949099357919,65,47,36,6.2,222.1,Loamy,Kharif,Pune,Rice
24.8,85.3,77.73156278875749,93,64,36,6.8,180.5,Clay,Kharif,Pune,Jute
27.3,77.1,67.85698141019672,108,81,46,5.3,89.1,Black,Rabi,Mumbai,Banana
31.0,63.3,56.45414089726393,38,82,29,7.6,74.6,Red,Kharif,Pune,Blackgram
26.9,95.2,80.74387638842421,41,34,25,6.3,156.6,Loamy,Kharif,Pune,Coconut
31.7,45.1,36.30498250070459,15,16,20,6.0,80.6,Clay,Kharif,Nagpur,Mango
27.8,61.2,52.72578820964523,85,35,30,5.9,136.0,Red,Kharif,Nashik,Coffee
27.0,63.4,56.0169866655427,12,50,20,7.1,41.7,Black,Kharif,Bangalore,Lentil
26.3,88.1,76.42774580735261,56,67,54,6.8,122.6,Clay,Kharif,Nagpur,Papaya
24.6,72.3,65.60382755321905,123,25,37,6.3,110.4,Red,Zaid,Chennai,Coffee
25.7,77.8,67.07556744180604,59,48,42,6.1,140.3,Clay,Kharif,Pune,Jute
20.6,28.5,20.59271428405389,17,82,22,6.0,84.9,Loamy,Rabi,Ahmedabad,Kidneybeans
23.2,83.1,73.41133558381816,60,63,45,6.9,203.1,Loamy,Kharif,Nashik,Rice
21.6,48.8,43.58909759431124,120,44,26,6.1,55.2,Loamy,Kharif,Chennai,Cotton
25.0,53.0,40.25183225911375,112,31,25,6.1,159.4,Red,Zaid,Mumbai,Coffee
30.5,50.6,36.64058386189604,37,64,15,3.9,64.3,Black,Zaid,Pune,Mothbeans
22.3,62.7,52.056204477160215,97,15,39,6.0,111.3,Loamy,Kharif,Ahmedabad,Coffee
33.8,65.2,52.97956284564758,39,67,10,7.4,65.5,Red,Rabi,Chennai,Blackgram
16.6,65.3,57.32925937544991,19,80,71,5.7,61.4,Red,Rabi,Chennai,Chickpea
24.2,90.5,82.76399505135446,120,10,55,6.3,21.7,Black,Zaid,Bangalore,Muskmelon
19.8,49.5,36.401581770673516,43,51,87,6.4,28.5,Clay,Rabi,Nagpur,Chickpea
25.7,64.4,55.42538963698017,51,62,20,6.7,68.1,Loamy,Zaid,Mumbai,Blackgram
19.8,52.9,47.41537450854888,61,55,15,6.1,62.2,Black,Kharif,Hyderabad,Maize
25.5,59.1,50.58451622674811,21,45,11,5.6,61.9,Black,Zaid,Pune,Mothbeans
25.2,87.2,76.46483954213774,45,64,55,6.1,206.6,Black,Rabi,Hyderabad,Papaya
25.3,97.9,84.63591574023049,116,5,43,5.5,17.7,Clay,Zaid,Chennai,Muskmelon
26.7,97.1,86.76021239090086,89,30,56,5.4,31.1,Red,Zaid,Pune,Muskmelon
29.3,54.8,48.87880859390774,24,73,26,5.0,154.1,Clay,Zaid,Pune,Pigeonpeas
27.9,92.6,83.99961922892355,91,23,45,6.3,53.6,Red,Zaid,Kolkata,Watermelon
24.8,26.7,15.042195827086601,38,64,15,6.1,142.0,Red,Zaid,Delhi,Kidneybeans
30.7,43.8,36.70875960533344,27,31,35,6.7,99.3,Red,Rabi,Nagpur,Mango
15.5,28.0,16.442037628780025,32,69,29,5.5,142.0,Clay,Rabi,Kolkata,Kidneybeans
5.0,92.3,80.7087491669884,20,122,192,5.5,107.5,Red,Rabi,Pune,Apple
24.9,87.4,74.08231627706824,25,22,28,6.7,203.8,Clay,Rabi,Bangalore,Coconut
22.8,67.8,62.63685541120046,36,72,26,7.0,140.0,Loamy,Kharif,Chennai,Pigeonpeas
27.1,94.1,79.93389254457058,87,6,51,5.6,33.4,Red,Zaid,Nagpur,Muskmelon
23.0,57.0,44.486766325154555,33,84,12,5.3,40.6,Black,Zaid,Nagpur,Lentil
25.5,84.4,78.4879232770231,114,82,42,5.4,108.5,Clay,Zaid,Pune,Banana
27.4,48.9,40.29287759006403,124,36,34,6.8,156.9,Red,Rabi,Chennai,Coffee
22.5,81.0,69.33550672777831,74,37,36,5.8,154.2,Loamy,Kharif,Ahmedabad,Jute
16.1,56.0,45.812879616611355,35,69,75,5.8,58.2,Loamy,Rabi,Pune,Chickpea
23.8,57.1,47.176127954787496,110,51,23,7.4,60.4,Red,Kharif,Delhi,Cotton
29.7,73.5,65.2380939178741,91,70,46,6.5,116.9,Red,Rabi,Pune,Banana
25.0,22.2,11.441177009070643,36,77,15,6.1,75.1,Clay,Kharif,Chennai,Kidneybeans
24.3,93.5,82.6584171212368,108,18,48,5.5,21.1,Loamy,Zaid,Nagpur,Muskmelon
24.3,80.1,71.55400575934499,74,36,31,7.0,207.3,Clay,Kharif,Delhi,Rice
16.1,66.4,61.10390980101495,44,50,89,5.9,53.6,Black,Rabi,Kolkata,Chickpea
22.6,71.6,60.83387071716531,79,40,38,6.9,140.8,Loamy,Kharif,Delhi,Jute
25.7,82.9,73.40483695377635,68,37,49,5.3,138.8,Black,Kharif,Kolkata,Jute
25.9,94.6,83.48921323826403,18,16,25,5.6,156.5,Red,Kharif,Bangalore,Coconut
27.0,91.6,80.09430602198476,39,33,22,5.4,149.5,Loamy,Rabi,Bangalore,Coconut
20.6,96.7,83.61173231045953,42,27,12,6.8,96.1,Clay,Zaid,Nashik,Orange
23.2,95.6,88.38974469768976,48,68,50,6.8,192.0,Red,Kharif,Ahmedabad,Papaya
26.1,87.4,78.39586587684646,69,50,55,7.2,173.9,Loamy,Rabi,Hyderabad,Papaya
29.9,63.9,51.20265948221666,15,72,24,6.8,53.0,Clay,Kharif,Nashik,Lentil
24.6,86.3,76.05736761252659,31,148,197,5.6,79.8,Red,Zaid,Pune,Grapes
28.4,46.0,38.85784986333089,30,16,22,5.1,89.9,Red,Zaid,Bangalore,Mango
27.8,57.8,49.90577199333401,88,14,23,5.9,164.5,Clay,Kharif,Nashik,Coffee
24.3,62.8,57.59545327968869,10,72,15,6.6,42.7,Loamy,Kharif,Mumbai,Lentil
24.1,87.9,75.19195894377927,51,47,50,5.9,129.6,Red,Rabi,Chennai,Papaya
27.0,81.9,69.27601069408306,21,121,198,6.3,75.1,Loamy,Kharif,Nagpur,Grapes
31.0,59.0,44.77790864294708,32,48,26,5.9,53.0,Red,Zaid,Nashik,Mothbeans
26.8,90.0,80.05849306829506,64,54,41,5.9,146.8,Clay,Rabi,Pune,Papaya
28.3,67.9,62.21854695052057,44,40,18,6.4,50.6,Black,Zaid,Pune,Mungbean
31.9,72.5,61.56058876050193,46,72,21,6.3,65.2,Loamy,Rabi,Nagpur,Blackgram
26.3,68.9,55.229681552067845,67,36,32,5.3,166.3,Loamy,Kharif,Ahmedabad,Jute
30.2,62.6,50.770752254188196,53,76,12,7.2,72.8,Clay,Kharif,Chennai,Blackgram
24.7,71.9,61.29744731786492,56,30,40,6.1,136.1,Black,Kharif,Nashik,Jute
27.0,90.1,82.09133466708067,120,32,43,6.4,54.2,Red,Zaid,Delhi,Watermelon
22.9,61.0,53.46410435959641,19,60,80,5.9,46.8,Clay,Rabi,Kolkata,Chickpea
25.0,78.4,71.23411264711586,76,42,38,5.6,144.1,Black,Kharif,Delhi,Jute
25.9,92.1,86.34210708720559,124,34,58,7.2,54.9,Black,Zaid,Chennai,Watermelon
22.2,84.2,78.65507575886124,90,54,36,7.1,197.2,Red,Kharif,Chennai,Rice
23.2,72.6,66.88944529137072,74,52,36,7.0,170.9,Loamy,Kharif,Nashik,Jute
17.7,57.0,46.65592737301262,24,51,85,6.3,35.1,Black,Rabi,Chennai,Chickpea
24.4,97.0,85.89034204447147,104,15,55,6.6,22.3,Clay,Zaid,Nashik,Muskmelon
25.0,53.4,42.20496751319681,93,39,26,6.1,142.7,Loamy,Rabi,Kolkata,Coffee
25.1,94.4,87.70538272048798,69,58,57,5.9,199.5,Loamy,Rabi,Mumbai,Papaya
22.1,79.6,68.85738243244467,19,123,200,5.5,66.2,Loamy,Kharif,Mumbai,Grapes
21.7,85.3,78.19066463610964,79,49,39,6.1,209.1,Clay,Kharif,Ahmedabad,Rice
25.7,70.0,57.157675664453436,32,59,25,5.7,53.0,Black,Rabi,Bangalore,Lentil
21.5,55.6,41.117389254137265,16,81,83,6.5,55.3,Red,Rabi,Ahmedabad,Chickpea
30.4,69.7,54.98266232528559,34,36,26,6.7,53.9,Loamy,Kharif,Nagpur,Mungbean
24.1,92.4,82.5618787032089,52,68,41,6.3,131.1,Clay,Rabi,Delhi,Papaya
28.8,81.4,71.30427717513716,85,75,40,6.0,124.8,Clay,Zaid,Hyderabad,Banana
27.2,46.4,40.49036530896828,38,39,29,4.8,88.5,Clay,Zaid,Ahmedabad,Mango
22.1,67.2,61.72342573798759,33,66,82,6.6,58.3,Red,Rabi,Chennai,Chickpea
30.5,89.0,76.8874626681621,24,26,14,6.4,107.9,Red,Zaid,Bangalore,Orange
20.2,92.2,83.34376105639703,39,33,45,5.6,119.6,Red,Rabi,Bangalore,Pomegranate
19.1,29.1,20.749449039517064,44,80,11,5.7,73.8,Loamy,Zaid,Ahmedabad,Kidneybeans
30.2,59.6,51.6307943385024,49,67,16,6.7,72.7,Black,Kharif,Pune,Blackgram
6.7,91.7,81.88114886263273,40,120,193,6.4,99.3,Red,Rabi,Chennai,Apple
27.1,96.7,90.0,33,27,37,5.9,199.5,Clay,Rabi,Chennai,Coconut
20.2,59.2,50.20001470660794,11,72,20,6.8,57.1,Loamy,Kharif,Nagpur,Lentil
27.5,60.6,49.83695111694617,64,49,17,7.2,95.9,Black,Kharif,Mumbai,Maize
28.6,54.9,44.284859378208296,34,76,18,5.3,105.3,Red,Kharif,Ahmedabad,Pigeonpeas
29.7,44.3,37.03731251523534,38,11,37,5.9,109.7,Clay,Rabi,Ahmedabad,Mango
29.2,43.5,31.35758030992438,27,60,23,4.3,62.1,Clay,Zaid,Chennai,Mothbeans
20.9,90.0,75.52682543182596,27,14,37,6.2,112.1,Loamy,Zaid,Nashik,Pomegranate
27.8,63.4,56.165749024039826,63,34,15,5.6,102.8,Loamy,Kharif,Bangalore,Maize
27.3,46.1,40.951889634269264,21,11,25,4.5,107.8,Loamy,Rabi,Delhi,Mango
25.2,93.8,84.34069782174286,57,61,58,5.9,137.9,Red,Kharif,Nagpur,Papaya
21.5,68.9,58.457433229233175,20,53,15,6.0,45.6,Red,Zaid,Bangalore,Lentil
27.8,51.5,38.87341578333865,32,60,29,6.9,57.8,Loamy,Zaid,Bangalore,Mothbeans
27.3,52.0,45.27176981074555,94,20,30,6.9,178.2,Loamy,Rabi,Ahmedabad,Coffee
21.4,67.0,55.315752615218,40,52,78,6.0,64.3,Red,Rabi,Nagpur,Chickpea
29.9,62.5,52.568315342457666,15,84,19,5.4,42.4,Clay,Kharif,Nashik,Lentil
5.0,93.2,85.77605659406758,37,126,198,5.4,105.2,Red,Zaid,Kolkata,Apple
17.3,92.0,78.76076671910934,36,32,45,6.2,105.3,Black,Rabi,Mumbai,Pomegranate
25.8,68.7,59.89960875989248,42,76,10,6.6,71.6,Clay,Rabi,Ahmedabad,Blackgram
24.3,84.3,72.83790796725273,82,39,47,6.8,193.1,Red,Kharif,Delhi,Rice
17.1,71.7,64.05364422536425,31,70,29,6.8,50.2,Loamy,Zaid,Nashik,Lentil
29.9,97.8,90.0,20,11,11,6.0,97.4,Black,Kharif,Ahmedabad,Orange
21.3,72.0,65.91752569037574,36,79,75,6.6,61.5,Clay,Rabi,Pune,Chickpea
25.4,89.9,80.49344032139072,25,25,26,5.4,193.9,Clay,Zaid,Bangalore,Coconut
27.3,97.8,82.8535181122523,37,16,37,5.6,199.6,Black,Rabi,Chennai,Coconut
26.0,59.4,46.70355469437281,38,53,17,7.0,75.0,Loamy,Zaid,Pune,Blackgram
34.6,56.2,42.72046267704783,43,34,22,4.7,105.8,Clay,Rabi,Delhi,Mango
27.5,62.3,49.886148285343396,63,63,22,7.4,59.8,Red,Zaid,Delhi,Blackgram
31.0,68.7,63.15669425411505,58,70,12,6.8,64.3,Black,Zaid,Bangalore,Blackgram
27.0,75.9,64.29950101365927,61,46,37,6.7,135.1,Loamy,Kharif,Nashik,Jute
29.7,88.0,73.78354630036526,87,96,40,6.6,85.0,Loamy,Rabi,Hyderabad,Banana
23.6,98.0,86.76515293370389,51,64,48,6.7,198.8,Red,Kharif,Ahmedabad,Papaya
24.4,86.2,71.9169313986498,87,96,52,6.6,101.3,Clay,Kharif,Mumbai,Banana
5.0,90.3,80.38100788124962,37,138,203,6.5,103.8,Red,Rabi,Bangalore,Apple
23.0,32.3,23.037299784801785,16,80,22,5.6,127.2,Loamy,Zaid,Nagpur,Kidneybeans
15.0,28.5,22.18644994597816,44,63,24,6.2,135.6,Black,Zaid,Mumbai,Kidneybeans
21.6,52.0,37.53941683446183,66,48,12,5.6,89.2,Red,Kharif,Kolkata,Maize
25.6,56.1,44.20728113095198,21,81,25,4.6,129.2,Black,Zaid,Hyderabad,Pigeonpeas
17.7,42.0,28.24399216146302,25,82,14,6.9,152.2,Black,Rabi,Mumbai,Pigeonpeas
27.0,59.4,52.875324228487216,61,58,14,7.0,59.4,Red,Zaid,Delhi,Blackgram
26.0,72.5,63.23352685167238,83,45,39,6.1,168.6,Clay,Kharif,Chennai,Jute
23.6,90.5,81.2368395717672,101,29,44,6.9,61.2,Loamy,Zaid,Bangalore,Watermelon
27.0,57.3,44.35741947936331,64,33,13,7.2,72.4,Red,Kharif,Nagpur,Maize
25.7,94.9,81.84764274364748,102,9,52,7.2,57.6,Red,Zaid,Nagpur,Watermelon
25.8,97.2,89.7170906502019,101,29,52,6.8,54.3,Clay,Zaid,Hyderabad,Watermelon
23.7,62.4,53.79023964084632,67,63,19,6.3,67.4,Red,Kharif,Delhi,Maize
5.0,95.7,80.98967235250419,30,128,196,6.6,109.1,Loamy,Rabi,Nagpur,Apple
22.9,90.9,82.94695032075333,59,54,49,6.3,214.2,Red,Zaid,Nashik,Papaya
10.1,97.0,89.57508329877312,21,143,201,5.7,104.6,Clay,Zaid,Chennai,Apple
19.8,92.5,84.7399677882794,43,22,38,5.6,111.2,Red,Rabi,Nagpur,Pomegranate
22.2,47.1,39.00114370381033,43,69,71,5.7,56.0,Red,Rabi,Hyderabad,Chickpea
26.7,57.1,47.58332897230045,42,40,12,7.1,49.9,Black,Zaid,Kolkata,Mungbean
24.3,94.0,80.32873227421082,111,26,56,7.0,38.5,Clay,Zaid,Bangalore,Watermelon
29.8,77.0,68.59109099183536,44,131,200,6.3,65.2,Clay,Kharif,Mumbai,Grapes
33.8,62.1,50.762517548523334,39,53,13,6.9,68.7,Loamy,Zaid,Bangalore,Blackgram
5.0,97.7,90.0,21,115,194,6.0,105.6,Loamy,Zaid,Ahmedabad,Apple
21.9,66.4,60.12527400359814,25,67,71,6.2,49.9,Loamy,Rabi,Pune,Chickpea
24.2,62.9,54.84313594970914,43,62,13,4.2,29.6,Loamy,Rabi,Delhi,Mothbeans
20.8,90.0,81.52740639545077,41,26,30,7.1,98.6,Black,Rabi,Bangalore,Pomegranate
25.2,78.9,67.88522286823607,27,144,190,6.7,71.0,Black,Rabi,Delhi,Grapes
28.0,95.6,84.64099483179871,25,20,26,6.3,199.0,Loamy,Zaid,Pune,Coconut
22.8,93.2,82.55166823057866,68,50,49,6.4,211.2,Loamy,Kharif,Bangalore,Papaya
25.0,59.0,52.97245222356335,108,57,19,7.6,75.5,Black,Kharif,Nagpur,Cotton
28.3,59.6,45.49969663859177,41,56,19,4.7,65.2,Black,Kharif,Bangalore,Mothbeans
17.5,25.8,12.039442568417348,39,71,20,5.7,60.6,Red,Kharif,Chennai,Kidneybeans
17.2,96.2,81.59425806984424,36,11,39,6.9,99.9,Black,Kharif,Nagpur,Pomegranate
20.7,48.8,34.119963961496865,31,68,12,6.1,126.2,Black,Zaid,Pune,Pigeonpeas
28.0,57.3,51.35979984875729,14,69,24,6.8,38.0,Red,Zaid,Delhi,Lentil
21.0,95.3,87.60101474128942,36,7,34,6.9,105.2,Black,Zaid,Ahmedabad,Pomegranate
19.8,17.8,11.929939666627508,15,81,24,5.5,105.1,Red,Rabi,Bangalore,Kidneybeans
25.0,78.1,72.73726757691509,117,60,42,5.8,86.9,Clay,Rabi,Kolkata,Banana
28.4,70.9,56.84933828833313,37,61,10,6.8,50.4,Loamy,Kharif,Chennai,Mungbean
22.6,81.3,67.0997332767181,92,55,42,6.8,163.2,Red,Kharif,Chennai,Jute
26.0,63.7,54.20489423878286,120,10,31,6.3,114.9,Black,Rabi,Mumbai,Coffee
26.0,96.1,86.34694030439627,111,31,45,5.8,33.5,Black,Zaid,Delhi,Muskmelon
20.6,52.8,42.75774752943125,38,66,80,5.6,55.5,Red,Rabi,Hyderabad,Chickpea
22.8,84.3,79.06632138185563,35,23,47,5.6,115.2,Black,Zaid,Nagpur,Pomegranate
30.9,45.1,37.97390167619219,30,10,29,6.4,90.9,Black,Rabi,Bangalore,Mango
26.1,90.5,78.04290532089206,110,33,40,6.3,30.4,Black,Zaid,Ahmedabad,Muskmelon
25.9,65.8,54.40294614955202,20,63,22,5.2,48.7,Red,Rabi,Mumbai,Mothbeans
25.3,69.2,54.563657088812135,111,22,21,6.0,157.7,Clay,Zaid,Kolkata,Coffee
23.2,90.2,80.67624608995752,42,49,47,6.9,215.0,Black,Kharif,Bangalore,Papaya
23.6,51.7,39.908253505317795,27,46,20,7.1,45.0,Black,Rabi,Kolkata,Mothbeans
26.5,48.8,34.397625333593915,16,43,39,6.5,106.7,Red,Zaid,Bangalore,Mango
23.7,91.5,79.58281023459375,21,11,35,5.7,105.9,Black,Zaid,Kolkata,Pomegranate
16.4,31.2,26.186798126070983,16,53,23,5.3,149.4,Red,Rabi,Pune,Kidneybeans
26.3,94.6,86.63960999364329,103,21,56,6.9,36.1,Loamy,Zaid,Delhi,Watermelon
30.7,66.5,57.41284316713329,58,55,26,6.8,66.4,Black,Kharif,Kolkata,Blackgram
21.9,78.2,68.46769704262506,27,122,204,5.6,73.6,Black,Zaid,Nagpur,Grapes
24.1,64.1,58.057440769043176,11,64,25,5.8,54.8,Black,Kharif,Ahmedabad,Lentil
23.5,70.2,61.7563260469516,62,64,42,6.3,176.8,Black,Kharif,Nagpur,Jute
16.1,24.0,10.810389494514823,32,75,23,6.2,100.6,Loamy,Kharif,Bangalore,Kidneybeans
26.2,97.5,90.0,30,28,27,5.5,147.2,Black,Kharif,Nagpur,Coconut
25.7,87.7,82.39961545387368,26,134,208,5.6,62.0,Clay,Zaid,Mumbai,Grapes
33.7,51.6,38.698782970820716,19,37,23,6.1,85.0,Red,Rabi,Pune,Mango
28.8,76.9,67.6958769375899,108,87,46,6.2,103.8,Clay,Rabi,Nashik,Banana
28.3,73.7,67.34865654365693,106,72,54,5.7,111.0,Loamy,Kharif,Pune,Banana
21.4,85.6,70.77510837720418,15,130,192,6.5,58.8,Red,Rabi,Hyderabad,Grapes
28.5,60.7,47.37208474923209,34,53,13,6.9,54.1,Loamy,Zaid,Nashik,Mungbean
25.6,73.5,59.97047113759534,87,86,50,5.7,98.2,Clay,Zaid,Kolkata,Banana
31.4,91.6,85.02871195995881,16,13,11,6.1,123.3,Clay,Rabi,Nagpur,Orange
30.7,60.6,49.88708974055985,39,51,20,8.1,48.8,Clay,Kharif,Bangalore,Mothbeans
26.1,78.6,68.4113027492702,38,124,195,6.2,55.4,Loamy,Zaid,Nagpur,Grapes
27.4,88.7,77.95331467945257,95,6,44,6.7,54.9,Red,Zaid,Hyderabad,Watermelon
29.5,90.0,78.15456460966055,123,30,52,6.5,30.0,Loamy,Zaid,Nagpur,Muskmelon
26.2,93.5,82.47350994629011,32,28,33,6.5,211.1,Red,Kharif,Ahmedabad,Coconut
21.0,83.9,77.3704699671175,24,134,190,5.9,56.5,Red,Rabi,Mumbai,Grapes
24.9,95.9,90.0,39,13,33,5.7,220.5,Red,Rabi,Mumbai,Coconut
25.9,83.3,71.40270776117478,57,48,33,6.5,165.5,Clay,Kharif,Bangalore,Jute
22.2,89.3,77.9701763196726,51,52,48,6.8,189.0,Clay,Kharif,Ahmedabad,Papaya
23.2,95.6,86.98457546737762,112,33,58,7.1,45.4,Red,Zaid,Chennai,Watermelon
21.6,83.3,73.4949072959354,42,20,35,6.6,119.4,Black,Rabi,Nagpur,Pomegranate
24.0,95.9,84.81445670385405,28,19,38,5.9,164.8,Loamy,Kharif,Chennai,Coconut
19.0,77.4,63.30283731888677,94,43,34,6.8,210.7,Clay,Kharif,Nagpur,Rice
30.9,45.3,36.643999176091285,17,43,28,8.3,49.7,Loamy,Zaid,Chennai,Mothbeans
27.9,89.0,76.70830877123268,61,50,43,6.3,182.9,Black,Zaid,Mumbai,Papaya
25.4,77.3,64.07215991049979,78,61,35,5.4,140.6,Black,Kharif,Nashik,Jute
7.8,97.0,90.0,24,122,195,5.4,115.8,Red,Rabi,Bangalore,Apple
22.0,91.2,81.68588843782987,42,33,12,7.6,116.0,Loamy,Zaid,Chennai,Orange
26.2,46.0,34.91414478593641,20,13,30,6.3,97.0,Black,Rabi,Kolkata,Mango
28.0,53.4,47.82475561573034,20,18,27,4.9,107.0,Loamy,Zaid,Pune,Mango
20.1,51.9,42.02707078245341,26,76,20,4.7,153.6,Black,Zaid,Ahmedabad,Pigeonpeas
22.6,85.8,72.05303050823453,31,19,45,7.0,99.3,Clay,Kharif,Nashik,Pomegranate
25.3,63.1,52.218277117172946,29,52,13,7.3,73.4,Red,Kharif,Bangalore,Mothbeans
26.5,57.8,43.43206932392215,9,78,16,5.5,58.1,Loamy,Zaid,Hyderabad,Lentil
29.3,91.4,80.5293663039358,122,14,46,5.4,22.5,Black,Zaid,Nashik,Muskmelon
24.0,71.0,61.08691116894279,57,60,47,7.1,177.5,Loamy,Kharif,Pune,Jute
19.0,84.7,74.25268707725733,26,27,40,5.4,95.6,Loamy,Zaid,Chennai,Pomegranate
26.6,49.9,37.10007892458649,130,59,24,6.8,78.4,Loamy,Kharif,Hyderabad,Cotton
24.3,70.8,64.17205820559579,65,54,48,6.8,173.9,Loamy,Kharif,Kolkata,Jute
25.6,95.7,87.60611676359599,18,6,44,6.8,112.2,Black,Rabi,Ahmedabad,Pomegranate
16.4,66.6,60.22439007371343,26,63,82,5.8,39.1,Clay,Rabi,Hyderabad,Chickpea
25.4,78.7,69.10329892098,118,77,53,6.0,91.8,Red,Kharif,Nashik,Banana
22.1,66.4,58.89953675296993,90,25,29,6.3,125.7,Clay,Kharif,Chennai,Coffee
25.2,60.9,52.441726518422094,124,16,33,6.4,121.7,Loamy,Kharif,Nashik,Coffee
26.5,65.1,53.022467014699075,32,40,12,6.9,40.8,Red,Rabi,Hyderabad,Mungbean
27.6,62.7,55.186232713000784,48,59,25,7.0,58.9,Loamy,Zaid,Nagpur,Blackgram
25.7,84.5,74.81459044425651,91,72,52,5.5,121.4,Red,Kharif,Mumbai,Banana
26.7,83.2,68.74042702685468,97,66,48,5.8,110.6,Loamy,Zaid,Pune,Banana
27.0,67.4,58.98438022601521,125,47,12,6.3,92.2,Black,Kharif,Nashik,Cotton
29.4,83.6,75.7886149031037,87,93,57,6.2,109.4,Loamy,Rabi,Delhi,Banana
30.1,59.6,47.911231896121855,40,67,29,7.5,64.8,Black,Zaid,Delhi,Blackgram
24.2,88.1,74.40897793845753,93,14,49,5.7,18.1,Loamy,Zaid,Pune,Muskmelon
17.1,65.8,55.29218325582917,40,82,83,5.7,32.4,Clay,Rabi,Ahmedabad,Chickpea
22.8,73.6,68.11279162910435,82,54,41,6.0,151.0,Red,Kharif,Kolkata,Jute
29.8,95.0,85.71582278476832,25,27,21,5.5,220.2,Black,Zaid,Bangalore,Coconut
29.0,67.8,57.12645722486359,25,43,14,6.0,44.9,Red,Zaid,Delhi,Mungbean
29.7,67.9,57.83301450368168,28,59,13,4.0,48.2,Black,Rabi,Delhi,Mothbeans
25.4,62.5,53.171265166560325,91,32,11,6.1,85.4,Loamy,Kharif,Ahmedabad,Maize
20.9,93.1,85.87375553523653,19,28,45,5.4,104.3,Loamy,Kharif,Bangalore,Pomegranate
